id,How many years of software engineering experience do you have? ,What is your current role ?,"On average, how many configuration options does your typical application have (application-specific) or use (3rd party library)? ",Do you have personal experience with creating new configuration options?,Where do you store your configuration options?,How do you access this configuration storage in the code?,How are the values of application-specific configuration options available in the code?,From where do you read your configuration options?,What is the most frequent profile of people adding new configuration options? ,Why?,Is the creation of configuration options planned beforehand?,How do you decide configuration default values?,How do you communicate newly created options and their possible values to the team ? ,Do you use any naming conventions to ensure a coherence between configuration option names?,How often do you face configuration errors? ,How difficult is it to debug an error which is due to a misconfigured option?,What artefacts do you use to fix a configuration error?,Where do you document configuration-related errors and their solutions? ,Are you always aware of the impact of changing one of the application-specific configuration options?,Which artefacts do you use to understand application-specific configuration parameters? ,Do the names or the default values of your application-specific configuration options change across time?,What do you do with dead configuration options that are no longer useful? ,How would you rate the quality of the documentation (text documents or online documentation) of application-specific configuration options in the systems you participated in their developments ?  ,How would you rate the quality of the comments of configuration options (used within configuration files to explain the meaning and possible values of options)? ,Please explain the factors that lead to that quality (your previous two answers) of comments and documentation ,Do you consider configuration options during code review? ,Which techniques do you use to assure the quality of configuration options?,What could reduce the most the complexity of the configuration of a software project?,Could you describe some important problems related to configuration (in terms of creation/management/maintenance or any other theme) that you faced during your current and/or previous experiences and how did you fix them ? ,What could you suggest as 3 good practices and 3 bad practices to a new development team in order to have a good configuration quality and to avoid configuration problems?
172,5,Developer,<10,Yes,".json file;Environment variables (e.g., Bash);Application main arguments",Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values,We read configuration options in different places in the code,Architects and developers,Thought on usability has to be given and make sure the config are easy to understand.,"Yes, they are defined in the architecture specifications;No, they are juste extracted from hardcoded constants",Architectural specifications.;Discussion between developers and architects.,Chat support (like Slack or Hangout);Textual documentation;Readme updates,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,4,Log file;Debug the code;Stack Trace,In the commit message;Nowhere;Change log,"Yes, I know the impact of the majority of configuration options.",Documentation.;Configuration name is clear enough to be understood.;Unit /e2e tests,"Yes, they change but not frequently",Deprication warning then remval,4,4,Typically tired of answering questions or board and write autimation to create a base.,"Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;Test different configuration values,Allow only few people to modify configuration files.;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.;Use a separate software to manage configuration options.,When configuration becomes to large but is a client requirement move to a tool to modify the config.,Avoid complicated names. Dont shorten for the sake of shortness. Readability is very important. Unit and e2e tests are portant. Dont add a new option just for the sake of more configurability.
173,8,Developer,10<#<100,Yes,".properties file;In a table within the database used for the application;In a table within a database dedicated to configuration;Environment variables (e.g., Bash);LDAP or another directory service (e.g., Zookeeper);Application main arguments",Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,Default values are usually made up on the spot depending on dev 'feeling'.,"No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Client requirements.;Discussion between developers and architects.;Making tests until finding the optimal value for a parameter.;Ad hoc choices. It is up to the developer to decide.,Textual documentation;Pull Request,No. We do not have any configuration options naming convention.,Sometimes,3,Log file;Error message;Debug the code;Google the error;Stack Trace,In the commit message;In a Bug report (like Bugzilla),"Yes, I know the impact of the majority of configuration options.",Ask a colleague;Configuration name is clear enough to be understood.;I understand configuration options from the source code;I Google configuration names.,"No, they are almost stable","Remove them from the configuration files, and store them in a databse.",4,3,Online documentation for public projects is usually quite good. But the best source is the source code. Comments in the code are few mostly we rely on naming configuration options clearly enough.,"Yes, we review both functional and technical configuration options.",We have a static analysis tool inspired by checkstyle to enforce configuration conventions.;Default values are backed-up in a database to easily roll back.;Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration files.;Reduce the number of configuration options.;Use a separate software to manage configuration options.,Configuraiton options for Things like timeouts retries or other connnection options are quite useless without good monitoring. Its easy to add a configuration option its more difficult to know its impact.,Have the ability to monitor all metrics of your software and change configuration without redeploying your software. 
174,10,Developer,<10,Yes,".ini files;In a table within the database used for the application;Environment variables (e.g., Bash)",Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Architects and developers,"As the sole developer for the majority of my projects, I am the only one responsible for adding config options.","Yes, they are defined in the client specifications;No planning, options are added ad hoc",Client requirements.;Ad hoc choices. It is up to the developer to decide.,Chat support (like Slack or Hangout),"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Error message;Stack Trace,In the configuration file,"Yes, I know the impact of the majority of configuration options.",Documentation.;I understand configuration options from the source code,"No, they are almost stable","We do not remove them, we keep them in the configuration files.",5,4,I only put quick reference info into the configuration file itself. I leave external documentation as a place to go in depth on a specific option so as to not clutter the configuration file.,We do not review configuration options at all. We only review code.,Default values are backed-up in a database to easily roll back.;Security implications of configuration options are tested;Test different configuration values,Allow only few people to modify configuration files.;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,"I tend to leave too many configuration options hard coded into the application, making it difficult to change from a client side. I fixed this by either creating or finding a library to easily create a configuration file that could be accessed via getter and setter methods, followed by a code review of which variables should be put into a configuration file.","Good:
Work with the client to understand what they will need to change.
Follow a naming convention from the beginning, the organization benefits pay off greatly.
Don't be afraid to change configuration names while in early development.
Bad:
Leaving a configuration file without any comments whatsoever. 
Naming variables in a difficult to read manner.
Providing no default configuration that can be used to compare changes.
"
175,6,Developer,10<#<100,Yes,".properties file;.xml file;.json file;In a table within the database used for the application;In a table within a database dedicated to configuration;Environment variables (e.g., Bash)",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,"we're all capable and are a small team. a larger team might need more regulation. in addition, all new code is reviewed via pull request","Yes, they are defined in the architecture specifications;No planning, options are added ad hoc",Client requirements.;Architectural specifications.;Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Orally;Chat support (like Slack or Hangout);Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Error message;Documentation;Debug the code;Google the error;Stack Trace,In the commit message;In a Bug report (like Bugzilla);mailing list and documentation,"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they never change. Once, they are created, they do not change anymore.",retire them gracefully after clearly marking them as deprecated,3,2,generally names are verbose and self explanatory,"Yes, we review both functional and technical configuration options.",Default values are backed-up in a database to easily roll back.,Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.;Use a separate software to manage configuration options.;ui for configuration management,sometimes multiple files need to be updated at once for a single config. automating or scripting this could improve things significantly,"good: single config file, hot-reloadable, ui editable. Keep sane defaults whereever possible. Bad: Avoid short or abstruse config names. Avoid undocumented config settings. Avoid abstractions and config settings that aren't needed."
176,13,Developer,10<#<100,Yes,".json file;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Any developer,we move fast,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,1,Log file;Error message;Debug the code,In the commit message;In the configuration file,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",4,4,I don‰Ûªt understand the question,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Comment and document configuration options.,I don‰Ûªt recall any particular problems,"consistency, backwards compatibility, terseness"
177,11,Manager,"100<#<1,000",Yes,".properties file;.xml file;In a table within the database used for the application;LDAP or another directory service (e.g., Zookeeper)",Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,No reason,"No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Orally;Chat support (like Slack or Hangout),"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,3,Log file;Debug the code,In the commit message;In a Bug report (like Bugzilla),"Yes, I know the impact of few configuration options.",Configuration name is clear enough to be understood.,"No, they never change. Once, they are created, they do not change anymore.","Remove them from the configuration files, and do not store them anywhere.",3,3,N,"Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;We have a static analysis tool inspired by checkstyle to enforce configuration conventions.,Allow only experienced people to modify configuration files.,No/a,No/a
178,3,Manager,<10,Yes,".json file;.ini files;Environment variables (e.g., Bash)",Via an IO library to read the configuration storage.,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,all developers are capable enough to do that,"No planning, options are added ad hoc",Client requirements.;Architectural specifications.;Discussion between developers and architects.,Chat support (like Slack or Hangout);Via Wiki or a web platform,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,1,Log file;Error message;Documentation;Debug the code;Stack Trace,In a Wiki;In the configuration file,"Yes, I know the impact of all the configuration options.",Documentation.;Ask a colleague;Configuration name is clear enough to be understood.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,3,difficult to maintain. we forget adding required documentation sometimes,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Allow only experienced people to modify configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Planning ahead the creation of options.,mess up the exact usage of it. Better naming helps a lot,"Good: document it, think if required, use accessors to get it. Bad: dont keep adding it, dont check in configuration files, make sure they are up to date"
179,3,Developer,"1,000<#<10,000",Yes,".json file;In a table within the database used for the application;Environment variables (e.g., Bash)",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values;There is no clear mapping between options and code,We read configuration options from a specific class/module,Any developer,"Depends from particular task. In my team architects, senior, middle, junior developers are adding configuration options. Senior developers do it more often as they see more flexible options.","Yes, they are defined in the architecture specifications;No, they are juste extracted from hardcoded constants",Ad hoc choices. It is up to the developer to decide.,Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Often,4,Log file;Error message;Documentation;Debug the code;Google the error;Stack Trace,Nowhere,"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code;I Google configuration names.,"Yes, they change but not frequently","We do not remove them, we keep them in the configuration files.",2,2,There are few factors that I presume responsible:  laziness of developers;  some configuration options are left to be described in different documents (for non technical people) and mostly left untouched; some configuration options are used only once for particular situation and unfortunately developers don't think they should be documented; wrong habits of developers,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration options.;Planning ahead the creation of options.;Use a separate software to manage configuration options.,I think the biggest problems are created by developers. They are doing configuration files/variables that only they know and use fluently. They don't presume that others might need them. Other problem is amount of confuguration variables. For one project that I participate amount of variables is  tremendous and hard to order and document. Most of them are forgotten but noone removes them as it might cause problems for some old instalations.,"Good practices: 1. clear variables with documentation, 2. Keep minimum amount of variables, 3. Keep them in one place (might be different files but same directory). Antipractices: 1. Keeping configuration in constants in code, 2. Distributed files in different directories. 3. Non consistent configuration files format. "
180,19,Developer,<10,Yes,Command line flags. Otherwise the code is the configuration.,Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,Fine-grained dependency injection,We read configuration options in different places in the code,Any developer,Because we don't hire developers we wouldn't trust to make decisions on their own.,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Orally,No. We do not have any configuration options naming convention.,Sometimes,3,"Since the code is the configuration, we use the same techniques we'd use normally.",In the commit message;In a Bug report (like Bugzilla);In the configuration file,"Yes, I know the impact of the majority of configuration options.",I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",2,2,"Everyone just reads the code, so people don't usually care too much to document things.","Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;We have a static analysis tool inspired by checkstyle to enforce configuration conventions.;The existing compilers. Since the code is usually the configuration.,"Turn software project into a library. User writes his own configuration by creating a program that uses the library. The program itself is the configuration. In other words, zero configuration, just APIs that are validated by the compiler.",see above,see above
181,5,Developer,<10,Yes,.properties file;In a table within the database used for the application;In a table within a database dedicated to configuration,Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Architects and developers,It's important that the people that the people who are coding it know what is doing,"Yes, they are defined in the client specifications;Yes are defined, but sometimes could be appear other specifications in the proccess",Client requirements.;Architectural specifications.;Discussion between developers and architects.,Orally;Chat support (like Slack or Hangout);By mail;Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,3,Log file;Error message;Debug the code;Google the error;Stack Trace,In text document,"Yes, I know the impact of all the configuration options.",Documentation.;Ask a colleague;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"Yes, they change but not frequently","We do not remove them, we keep them in the configuration files.",3,4,"Like all specifications of an applications, is important that this be clear in a document","Yes, but we review only technical configuration options.",We have tools to check correctness of the values;We have a static analysis tool inspired by checkstyle to enforce configuration conventions.;Security implications of configuration options are tested;Test different configuration values,Reduce the number of configuration files.;Allow only few people to modify configuration files.;Reduce the configuration option dependencies;Reduce the number of configuration options.;Planning ahead the creation of options.;Make every option responsibility of one specific person.,"I think the principal problem that I have had, are the client's specifications, sometimes are very difficult","variables named according to functionality, sample code and specific person to work with configuration, so, I think is important choose a technology with support and easy to learn"
182,22,Architect,"100<#<1,000",Yes,".properties file;.xml file;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;There is no clear mapping between options and code,We read configuration options in different places in the code,Architects and developers,Only they are qualified to understand when something is worth being a configurable value.,"Yes, they are defined in the architecture specifications;No planning, options are added ad hoc",Architectural specifications.;Making tests until finding the optimal value for a parameter.,Textual documentation,No. We do not have any configuration options naming convention.,Sometimes,2,Log file;Error message;Documentation,In the commit message;In a Bug report (like Bugzilla),"Yes, I know the impact of the majority of configuration options.",Documentation.;Configuration option comments.,"Yes, they change but not frequently",Just Comment them in the configuration file.,3,2,"Developer flow.  You realize that something needs to be a ""switchable"" option, so you make it a configurable option and move on, rarely going back to bulletproof the documentation.","Yes, we review both functional and technical configuration options.",Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration options.,"One of the problems is that nearly every configuration system in Java proceeds in terms of hierarchies.  But configuration values are not inherently hierarchical.  It SEEMS like they are, but they're not.  Consider a configuration file that supplies values suitable for X region and Y environment, and another configuration file that supplies values suitable for Y environment and Z data center.  Which should trump the other?  The answer is not obvious and requires thought.  I fixed them in my configuration framework: https://ljnelson.github.io/microbean-configuration/",Think really really hard about what really truly should be variable.
183,23,Developer,10<#<100,Yes,.xml file;In a table within the database used for the application;In a table within a database dedicated to configuration;Application main arguments,Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,My applications have always been targeted at a broad user-base of developers.,"Yes, they are defined in the architecture specifications",Architectural specifications.,Orally;Chat support (like Slack or Hangout);By mail;Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,1,Log file;Error message;Documentation;Stack Trace,In a Bug report (like Bugzilla),"Yes, I know the impact of all the configuration options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.,"No, they are almost stable",Just Comment them in the configuration file.,5,4,"The development team, and particularly the lead, must simply be committed to producing and maintaining clear documentation (which is a major failing of probably the majority of software projects undertaken throughout history -- developers tend to care little or not at all regarding proper documentation).","Yes, we review both functional and technical configuration options.",The application is designed to disallow invalid configuration options.,Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,"A often-recurring big challenge is to come up with a simple and clear name for each configuration option, and come up with an overall workable naming convention for all configuration options. This is ""fixed"" simply by giving considerable thought to the naming of individual options and (most vitally) expending maximum effort to come up with an overall workable and extensible naming convention system.","Sorry, no time to answer this one!"
184,15,All of them,10<#<100,Yes,".json file;.ini files;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments;In code like python config.py or php config.php",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option,We read configuration options in different places in the code,Architects and developers,Architects know better from user view while developer have better detail understanding how critical the option affect the program behavior.,"Yes, they are defined in the architecture specifications;No planning, options are added ad hoc;Each one know to propose only some of the configurations, some is even required to tweak performance or needed to enable verbose or specified logging, some options are only realized after program is developed",Architectural specifications.;Discussion between developers and architects.,By mail;Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Error message;Debug the code;Check configuration setting,In the configuration file,"Yes, I know the impact of all the configuration options.",Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable",We have it remove from example configuration file so client can use diff tool to merge,4,4,Assuming the role and skill of the one who need to play with configuration,We do not review configuration options at all. We only review code.,Security implications of configuration options are tested;Test different configuration values,"Allow only experienced people to modify configuration files.;Comment and document configuration options.;Reduce the number of configuration options.;Separate detail and overall setting, critical and normal setting","Mostly because we assume the role who tweak its value have required basic knowledge but sometimes they don't. More comments explaining and example value, teaching","Check config values in the same software which can be requested on demand, check it logically with multiple option together to avoid conflict setting, do not to check logic at runtime to avoid performance penalty, but do check simple value at loading / parsing / importing setting to configuration, accept only valid value"
185,14,Developer,"100<#<1,000",Yes,".properties file;.json file;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments",Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,Actually any developer or a trained administrator usually does this. It's simple enough and isolated to that specific functionality,"Yes, they are defined in the client specifications",Discussion between developers and architects.,Orally;Chat support (like Slack or Hangout);Via Wiki or a web platform,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,2,Error message;Documentation,Nowhere,"Yes, I know the impact of the majority of configuration options.",Configuration name is clear enough to be understood.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,1,"Non developers mostly, and some devs use config docs at times. Usually they are easily understandable by name","Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the configuration option dependencies;Reduce the number of configuration options.;Default values and behaviour,"Naming, isolation from other config options",One place per application. Good naming and convenient defaults
186,15,All of them,10<#<100,Yes,".json file;.ini files;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Architects and developers,Every one know we need some of them lately during development,"Yes, they are defined in the architecture specifications;No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Discussion between developers and architects.,By mail;Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Error message;Documentation;Debug the code,In text document;In the configuration file,"Yes, I know the impact of the majority of configuration options.",Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable",Remove from example config to be merged ,4,4,"Communication, cross code review","Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;Security implications of configuration options are tested,Allow only experienced people to modify configuration files.;Comment and document configuration options.;Reduce the number of configuration options.,We assume the ones who change it understand required basic knowledge but they don't. Teach them,"Check setting logic and if it works on demand requested by the one who tweak it in the same software, check simple value after loading / parsing config file. Behave securely if bad option is provided"
187,11,Manager,10<#<100,Yes,.properties file;.xml file;.json file,Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Architects and developers,I'm manager projects and some people coding on them.,"Yes, they are defined in the client specifications",Architectural specifications.;Discussion between developers and architects.,Chat support (like Slack or Hangout);Textual documentation;Pull Request,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,3,Log file;Error message;Debug the code,In a Bug report (like Bugzilla);In the configuration file,"Yes, I know the impact of all the configuration options.",Configuration option comments.;I understand configuration options from the source code,"Yes, they change but not frequently","Remove them from the configuration files, and store them in a databse.",4,3,"Clearly, follow the standard given by the company.","Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;Test different configuration values,Use a separate software to manage configuration options.,"It is not easy for short answers. On long time I working, I have many problem and fixed them.",#NAME?
188,10,Developer,"1,000<#<10,000",Yes,".properties file;.json file;Environment variables (e.g., Bash);LDAP or another directory service (e.g., Zookeeper)",Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option,We read configuration options in different places in the code,Any developer,Because it is wide using,"No planning, options are added ad hoc",Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Chat support (like Slack or Hangout);Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,1,Stack Trace,Nowhere,"Yes, I know the impact of only configuration used in the code I worked on.",Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",4,4,need more documentation,"Yes, we review both functional and technical configuration options.",Test different configuration values,Comment and document configuration options.;Reduce the number of configuration options.,no serious problem,"Good: good naming, think about default value, better documentation. Bad: name differs from the general style, a lot of obsolete configuration, think twice about adding new configuration option."
189,30,Developer,<10,Yes,".properties file;.xml file;.json file;Environment variables (e.g., Bash);LDAP or another directory service (e.g., Zookeeper);Application main arguments",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Certain expert developers,to protect from property overkill,"Yes, they are defined in the architecture specifications",Architectural specifications.,Orally;Chat support (like Slack or Hangout);By mail,"Yes. We do have a naming convention, and all the developers respect it.",Often,3,Log file;Error message;Debug the code;Google the error;Stack Trace,In the commit message,"Yes, I know the impact of the majority of configuration options.",Ask a colleague;Configuration option comments.,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",3,4,lack of understanding ,We do not review configuration options at all. We only review code.,Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration files.;Allow only few people to modify configuration files.;Reduce the number of configuration options.;Use a separate software to manage configuration options.,"too many options, often overlapping, not removing dead options","use a single source, comment options, remove dead options "
190,15,Developer,"100<#<1,000",Yes,.properties file;.xml file,Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,Liferay Portal is very complex and need to be maintain by several developers.,"Yes, they are defined in the architecture specifications;No planning, options are added ad hoc",Architectural specifications.;Discussion between developers and architects.,Orally;Textual documentation;Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Often,4,Log file;Error message;Debug the code;Stack Trace,In a Bug report (like Bugzilla);In the configuration file,"Yes, I know the impact of all the configuration options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,4,High standards in code format/documentation requirements,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Allow only experienced people to modify configuration files.;Comment and document configuration options.,Had an LDAP filter related problem when it turned out that the validation logic for the filter is bad. I developed an ANTLR based grammar based on the LDAP Filter specification and generated the JAVA code based on it. Then we created excessive Unit tests to verify that it works correctly.,"Good practices:
- Use one type of config file like xml, properties, etc. 
- Have a descriptive name for each configuration option.
- Have proper documentation above each configuration option in the config file to know what that option does and how does it work in details.
Bad practices:
- Between major software versions rename or introduce new config options for the same thing. This way after an upgrade your customers will face misconfiguration issues.
- Read the configuration from file, but be able to modify them from UI so the configs will be saved to DB and  since then no option to change that option from the config file, so figure out what was messed up is hardly possible.
- Use different separator for multiline configuration options to confuse the administrators to whether use "","" or ""\n"" to separate the options."
191,17,Developer,10<#<100,Yes,".properties file;.xml file;Environment variables (e.g., Bash)",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Certain expert developers,Because it is public API and it should be designed carefully.,"Yes, they are defined in the architecture specifications",Architectural specifications.;Discussion between developers and architects.,Via Wiki or a web platform;Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Documentation;Stack Trace,In a Wiki;In a Bug report (like Bugzilla),"Yes, I know the impact of all the configuration options.",Documentation.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",4,4,DEvelopers responisbility and accuracy,"Yes, we review both functional and technical configuration options.",Test different configuration values,Allow only experienced people to modify configuration files.;Comment and document configuration options.,Backward compatibility.,It depends.
192,15,Architect,10<#<100,Yes,".properties file;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments;.yaml file",Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,"As configuration options are UI for our customers, we would like them to be consistent; hence, we ask everyone (3 people overall).","No, they are juste extracted from hardcoded constants",Discussion between developers and architects.,Orally,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,2,Log file;Error message;Debug the code,In a Bug report (like Bugzilla);In the configuration file,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;Configuration option comments.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,4,Whether the option is commonly used or not determines how much time is spend on documenting/commenting it.,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Allow only experienced people to modify configuration files.;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,Reproducing old configurations is hard if they are not versioned,"1. Have a good conceptual model. Don't add ad-hoc options.
2. Decide on a naming convention early on and stick to it.
3. Use configuration file formats that allow comments (don't use JSON, which doesn't)."
193,15,Developer,"100<#<1,000",Yes,.properties file;In a table within the database used for the application,Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,All developers/architects are peers; all can make changes but all changes must pass review before being merged.,"Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications;No planning, options are added ad hoc",Client requirements.;Architectural specifications.;Discussion between developers and architects.,Textual documentation;Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Error message;Documentation,In a Bug report (like Bugzilla);In text document;In the configuration file,"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.,"No, they are almost stable",Deprecation plan published in next release; later release will delete it,4,4,Putting in the effort to document/comment. Reviewers would generally not accept new configuration options that were difficult to comprehend.,"Yes, we review both functional and technical configuration options.",Test different configuration values,Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,no answer,no answer
